ForageQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	HighQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality	LowQuality
OTUID	8869.3.d21.HQNoRum	8829.3.d21.HQ40MDGSNoRum	8804.3.d21.HQ40MDGSRum	8789.3.d21.HQNoRum	8878.3.d21.HQRum	8847.3.d21.HQ40MDGSNoRum	8871.4.d21andCnSt.HQRum	8792.4.d21andCnSt.HQRum	8946.3.d21.HQRum	8958.3.d21.HQ40MDGSNoRum	8966.3.d21.HQRum	8995.3.d21.HQNoRum	8861.2.d63.HQNoRum	8869.2.d63.HQNoRum	8804.2.d63.HQ40MDGSRum	8802.2.d63.HQNoRum	8789.2.d63.HQNoRum	8847.2.d63.HQ40MDGSNoRum	8792.2.d63.HQRum	8966.2.d63.HQRum	8942.2.d63.HQ40MDGSNoRum	8974.2.d63.HQ40MDGSRum	8998.2.d63.HQNoRum	8990.2.d63.HQRum	8989.8.d63.HQ40MDGSRum	8859.8.d63.HQRum	8813.3.d21.40DeoiledMDGS	8798.3.d21.20DeoiledMDGS	8815.3.d21.20NormalMDGS	8809.3.d21.LQ40MDGSNoRum	8849.3.d21.20DeoiledMDGS	8882.3.d21.20NormalMDGS	8943.3.d21.40NormalMDGS	8945.3.d21.40DRC	8836.3.d21.40NormalMDGS	8973.3.d21.40DeoiledMDGS	8968.4.d21andCnSt.LQ40MDGSNoRum	8975.3.d21.20DeoiledMDGS	8879.4.d21andCnSt.20NormalMDGS	8972.4.d21andCnSt.20DeoiledMDGS	8976.4.d21andCnSt.20DeoiledMDGS	8996.3.d21.20NormalMDGS	8997.3.d21.20NormalMDGS	8963.3.d21.LQ40MDGSNoRum	8934.4.d21andCnSt.40DeoiledMDGS	8831.2.d63.40NormalMDGS	8824.2.d63.LQ40MDGSNoRum	8815.2.d63.20NormalMDGS	8845.2.d63.40DeoiledMDGS	8842.2.d63.20NormalMDGS	8812.2.d63.40DeoiledMDGS	8796.2.d63.40DRC	8821.2.d63.LQ40MDGSNoRum	8949.2.d63.LQ40MDGSNoRum	8941.2.d63.20NormalMDGS	8951.2.d63.LQ40MDGSNoRum	8964.2.d63.20DeoiledMDGS	8979.2.d63.LQ40MDGSNoRum	8997.8.d63.20NormalMDGS	8937.8.d63.40DRC	8963.8.d63.LQ40MDGSNoRum	8791.8.d63.20NormalMDGS	8934.8.d63.40DeoiledMDGS
1	0.0971392643823	0.109085193335	0.106884627476	0.268154668343	0.274441999371	0.175102169129	0.263124803521	0.251493241119	0.19333542911	0.0675888085508	0.0946243319711	0.17070103741	0.0946243319711	0.0377239861679	0.198365293933	0.0251493241119	0.0616158440742	0.0521848475322	0.139893115373	0.118201823326	0.0719899402704	0.068531908205	0.221314052185	0.0977679974851	0.0374096196165	0.0515561144294	0.200565859793	0.126375353662	0.0697893744106	0.0873939012889	0.19333542911	0.0892801005973	0.0999685633449	0.555485696322	0.237975479409	0.269412134549	0.224457717699	0.307136120717	0.230430682175	0.266897202138	0.322854448287	0.222885884942	0.212511788746	0.0889657340459	0.122917321597	0.0578434454574	0.0980823640365	0.0754479723357	0.0980823640365	0.115372524363	0.0345803206539	0.143351147438	0.0220056585979	0.0223200251493	0.141150581578	0.134234517447	0.17761710154	0.0745048726815	0.157497642251	0.474693492612	0.104684061616	0.122288588494	0.221314052185
2042	0.000314366551399	0.00157183275699	0	0	0	0	0.000314366551399	0	0.000314366551399	0.000628733102798	0	0.000314366551399	0.00220056585979	0.000628733102798	0	0	0.000314366551399	0.000628733102798	0.00188619930839	0.000943099654197	0	0	0	0.000314366551399	0	0.000628733102798	0	0	0.000314366551399	0	0.000314366551399	0	0	0	0	0	0	0.000628733102798	0	0	0	0	0	0	0	0	0.000628733102798	0.0012574662056	0	0.000314366551399	0	0	0	0	0	0	0	0	0.0012574662056	0	0	0.000314366551399	0
218	0.000314366551399	0.000943099654197	0	0.000314366551399	0	0	0	0.000628733102798	0	0.000314366551399	0	0	0	0	0	0	0	0.000314366551399	0	0.000314366551399	0.000314366551399	0	0	0.000314366551399	0	0	0	0	0	0.000314366551399	0.000628733102798	0.000314366551399	0	0	0	0	0	0	0	0.000628733102798	0	0	0	0	0	0	0	0	0.000628733102798	0	0.000943099654197	0.000314366551399	0	0.000314366551399	0.000314366551399	0.000314366551399	0	0	0	0	0.000314366551399	0.000314366551399	0.000314366551399
2106	0.00157183275699	0	0	0	0.000314366551399	0.000628733102798	0	0.000314366551399	0.000943099654197	0	0.00282929896259	0.000628733102798	0.000314366551399	0.000628733102798	0	0.000943099654197	0.000314366551399	0.000314366551399	0.000314366551399	0.00157183275699	0	0	0.000314366551399	0.000628733102798	0.000314366551399	0	0	0	0.000943099654197	0.000314366551399	0.000943099654197	0	0	0	0	0.000314366551399	0	0	0.000314366551399	0	0	0.000314366551399	0.000314366551399	0	0	0.000628733102798	0.000314366551399	0.000628733102798	0.000314366551399	0	0	0	0	0	0	0	0.000314366551399	0	0.000628733102798	0	0	0	0.000628733102798
221	0.000628733102798	0.000314366551399	0.0012574662056	0.000314366551399	0	0	0	0	0	0	0	0.000314366551399	0.000314366551399	0.000314366551399	0	0.000628733102798	0.000628733102798	0	0	0.00157183275699	0.00157183275699	0.000314366551399	0.000314366551399	0	0.000628733102798	0.000943099654197	0	0.000628733102798	0.00157183275699	0.000314366551399	0.000314366551399	0.000943099654197	0.0012574662056	0.000314366551399	0.000314366551399	0.000628733102798	0.00157183275699	0	0	0	0.000943099654197	0.000628733102798	0	0.000628733102798	0.000314366551399	0.000628733102798	0	0	0.000628733102798	0.000943099654197	0	0.000628733102798	0.000314366551399	0.000628733102798	0	0	0.000314366551399	0.00157183275699	0	0.000943099654197	0.000314366551399	0	0.000943099654197
2125	0.000314366551399	0.000628733102798	0	0.000314366551399	0.00157183275699	0.00188619930839	0.000314366551399	0.000314366551399	0.000943099654197	0	0.00157183275699	0	0	0.000943099654197	0	0.00251493241119	0	0.000628733102798	0.0012574662056	0	0	0.000314366551399	0.000628733102798	0.000943099654197	0.000314366551399	0.00188619930839	0	0	0	0.000628733102798	0.000943099654197	0	0	0.000314366551399	0.000628733102798	0	0.000314366551399	0.000314366551399	0.000628733102798	0.00157183275699	0.000628733102798	0	0.000314366551399	0	0	0.000943099654197	0.00220056585979	0.000943099654197	0	0	0.000314366551399	0	0.000314366551399	0.000314366551399	0.0012574662056	0.000628733102798	0.000628733102798	0	0.00157183275699	0	0.000314366551399	0	0.000314366551399
224	0	0.00157183275699	0.000314366551399	0.000314366551399	0.000943099654197	0.000314366551399	0.0012574662056	0.00188619930839	0.000314366551399	0	0.000943099654197	0.000943099654197	0.000314366551399	0.000628733102798	0.000314366551399	0	0	0.000314366551399	0.0012574662056	0.000628733102798	0	0.000628733102798	0.000943099654197	0.000314366551399	0.000314366551399	0.000314366551399	0.0012574662056	0.000943099654197	0.000314366551399	0	0.0012574662056	0	0.0012574662056	0.00377239861679	0.000628733102798	0.0012574662056	0.00188619930839	0.000943099654197	0.00157183275699	0.00157183275699	0.00282929896259	0.000943099654197	0.000628733102798	0.000628733102798	0.00188619930839	0.000314366551399	0	0.000314366551399	0.000628733102798	0	0	0.000628733102798	0	0.000628733102798	0.000628733102798	0.000628733102798	0	0.000314366551399	0.000943099654197	0.000314366551399	0.000628733102798	0.000628733102798	0.00157183275699
2166	0	0	0	0	0.000314366551399	0	0	0.000943099654197	0	0	0	0	0	0.000314366551399	0	0	0.000314366551399	0.000628733102798	0	0.000628733102798	0	0	0	0.000314366551399	0.00188619930839	0.000314366551399	0	0	0	0.000628733102798	0	0	0.000314366551399	0	0	0	0	0	0	0	0	0	0	0	0.000314366551399	0	0.000314366551399	0	0	0	0.000314366551399	0	0.0012574662056	0	0	0	0	0	0.000314366551399	0	0	0	0
2185	0	0	0	0.0012574662056	0	0	0.00314366551399	0	0	0	0.000314366551399	0.000628733102798	0	0.000314366551399	0.000314366551399	0.000314366551399	0.000943099654197	0.000314366551399	0.000628733102798	0.000628733102798	0.000314366551399	0.000628733102798	0.000943099654197	0.000314366551399	0.000943099654197	0.00188619930839	0.000943099654197	0	0.000628733102798	0.000943099654197	0	0	0.000314366551399	0	0	0.000628733102798	0.000314366551399	0.000314366551399	0.000628733102798	0	0.00157183275699	0	0	0	0.000314366551399	0.000314366551399	0.0012574662056	0.00188619930839	0	0	0.000628733102798	0.000628733102798	0.00157183275699	0.000943099654197	0	0.000314366551399	0.000314366551399	0	0.000628733102798	0.000314366551399	0.0012574662056	0.000628733102798	0.000314366551399
